album,song,lyrics
Taylor Swift,Stay Beautiful,And don't you know
Taylor Swift,Stay Beautiful,You're really gonna be someone
Taylor Swift,Stay Beautiful,Ask anyone
Taylor Swift,Stay Beautiful,And when you find everything you looked for
Taylor Swift,Stay Beautiful,I hope your life leads you back to my door
Taylor Swift,Stay Beautiful,"Oh, but if it don't"
Taylor Swift,Stay Beautiful,Stay beautiful
Taylor Swift,Stay Beautiful,If you and I are a story
Taylor Swift,Stay Beautiful,That never gets told
Taylor Swift,Stay Beautiful,If what you are is a daydream
Taylor Swift,Stay Beautiful,I'll never get to hold
Taylor Swift,Stay Beautiful,At least you'll know
Taylor Swift,Stay Beautiful,You're beautiful
Taylor Swift,Stay Beautiful,Every little piece love
Taylor Swift,Stay Beautiful,And don't you know
Taylor Swift,Stay Beautiful,You're really gonna be someone
Taylor Swift,Stay Beautiful,Ask anyone
Taylor Swift,Stay Beautiful,And when you find everything you looked for
Taylor Swift,Stay Beautiful,I hope your life leads you back to my front door
Taylor Swift,Stay Beautiful,"Oh, but if it don't"
Taylor Swift,Stay Beautiful,Will you stay
Taylor Swift,Stay Beautiful,"Beautiful, beautiful, beautiful"
Taylor Swift,Stay Beautiful,"Beautiful, beautiful, beautiful?"
Taylor Swift,Stay Beautiful,La la la
Taylor Swift,Stay Beautiful,"Oh, oh, oh, oh"
Taylor Swift,Stay Beautiful,"Oh, but if it don't"
Taylor Swift,Stay Beautiful,Stay beautiful
Taylor Swift,Stay Beautiful,Stay beautiful
Taylor Swift,Stay Beautiful,"Na, na, na, na, na"
Taylor Swift,Should've Said No,It's strange to think the songs we used to sing
Taylor Swift,Should've Said No,"The smiles, the flowers, everything is gone"
Taylor Swift,Should've Said No,Yesterday I found out about you
Taylor Swift,Should've Said No,Even now just looking at you feels wrong
Taylor Swift,Should've Said No,"You say that you'd take it all back, given one chance"
Taylor Swift,Should've Said No,"It was a moment of weakness and you said, ""Yes."""
Taylor Swift,Should've Said No,"You should've said ""No"", you should've gone home"
Taylor Swift,Should've Said No,You should've thought twice 'fore you let it all go
Taylor Swift,Should've Said No,You should've known that word
Taylor Swift,Should've Said No,'Bout what you did with her'd
Taylor Swift,Should've Said No,Get back to me (get back to me).
Taylor Swift,Should've Said No,And I should've been there in the back of your mind
Taylor Swift,Should've Said No,"I shouldn't be asking myself, ""Why?"""
Taylor Swift,Should've Said No,You shouldn't be begging for forgiveness at my feet...
Taylor Swift,Should've Said No,"You should've said ""No"", baby, and you might still have me"
Taylor Swift,Should've Said No,You can see that I've been crying
Taylor Swift,Should've Said No,"And baby, you know all the right things to say"
Taylor Swift,Should've Said No,But do you honestly expect me to believe
Taylor Swift,Should've Said No,We could ever be the same?
Taylor Swift,Should've Said No,"You say that the past is the past, you need one chance"
Taylor Swift,Should've Said No,"It was a moment of weakness and you said, ""Yes."""
Taylor Swift,Should've Said No,"You should've said ""No"", you should've gone home"
Taylor Swift,Should've Said No,You should've thought twice 'fore you let it all go
Taylor Swift,Should've Said No,You should've known that word
Taylor Swift,Should've Said No,"'Bout what you did with her'd,"
Taylor Swift,Should've Said No,Get back to me (get back to me).
Taylor Swift,Should've Said No,And I should've been there in the back of your mind
Taylor Swift,Should've Said No,"I shouldn't be asking myself, ""Why?"""
Taylor Swift,Should've Said No,You shouldn't be begging for forgiveness at my feet...
Taylor Swift,Should've Said No,"You should've said ""No"", baby, and you might still have me"
Taylor Swift,Should've Said No,I can't resist
Taylor Swift,Should've Said No,"Before you go, tell me this:"
Taylor Swift,Should've Said No,Was it worth it?
Taylor Swift,Should've Said No,Was she worth this?
Taylor Swift,Should've Said No,"No... no, no, no..."
Taylor Swift,Should've Said No,"You should've said ""No"", you should've gone home"
Taylor Swift,Should've Said No,You should've thought twice 'fore you let it all go
Taylor Swift,Should've Said No,You should've known that word
Taylor Swift,Should've Said No,"'Bout what you did with her'd,"
Taylor Swift,Should've Said No,Get back to me (get back to me).
Taylor Swift,Should've Said No,And I should've been there in the back of your mind
Taylor Swift,Should've Said No,"I shouldn't be asking myself, ""Why?"""
Taylor Swift,Should've Said No,You shouldn't be begging for forgiveness at my feet...
Taylor Swift,Should've Said No,"You should've said ""No"", baby, and you might still have me"
Taylor Swift,Mary’s Song (Oh My My My),"She said, I was seven and you were nine"
Taylor Swift,Mary’s Song (Oh My My My),I looked at you like the stars that shined
Taylor Swift,Mary’s Song (Oh My My My),"In the sky, the pretty lights"
Taylor Swift,Mary’s Song (Oh My My My),And our daddies used to joke about the two of us
Taylor Swift,Mary’s Song (Oh My My My),Growing up and falling in love and our mamas smiled
Taylor Swift,Mary’s Song (Oh My My My),"And rolled their eyes and said, ""Oh my, my, my"""
Taylor Swift,Mary’s Song (Oh My My My),Take me back to the house in the backyard tree
Taylor Swift,Mary’s Song (Oh My My My),"Said you'd beat me up, you were bigger than me"
Taylor Swift,Mary’s Song (Oh My My My),"You never did, you never did"
Taylor Swift,Mary’s Song (Oh My My My),Take me back when our world was one block wide
Taylor Swift,Mary’s Song (Oh My My My),I dared you to kiss me and ran when you tried
Taylor Swift,Mary’s Song (Oh My My My),"Just two kids, you and I"
Taylor Swift,Mary’s Song (Oh My My My),"Oh my, my, my, my"
Taylor Swift,Mary’s Song (Oh My My My),"Well, I was sixteen when suddenly"
Taylor Swift,Mary’s Song (Oh My My My),I wasn't that little girl you used to see
Taylor Swift,Mary’s Song (Oh My My My),But your eyes still shined like pretty lights
Taylor Swift,Mary’s Song (Oh My My My),And our daddies used to joke about the two of us
Taylor Swift,Mary’s Song (Oh My My My),They never believed we'd really fall in love
Taylor Swift,Mary’s Song (Oh My My My),And our mamas smiled and rolled their eyes
Taylor Swift,Mary’s Song (Oh My My My),"And said, ""Oh my, my, my"""
Taylor Swift,Mary’s Song (Oh My My My),Take me back to the creek beds we turned up
Taylor Swift,Mary’s Song (Oh My My My),"Two A.M. riding in your truck, and all I need is you next to me"
Taylor Swift,Mary’s Song (Oh My My My),Take me back to the time we had our very first fight
Taylor Swift,Mary’s Song (Oh My My My),The slamming of doors instead of kissing goodnight
Taylor Swift,Mary’s Song (Oh My My My),You stayed outside 'til the morning light
Taylor Swift,Mary’s Song (Oh My My My),"Oh my, my, my, my"
Taylor Swift,Mary’s Song (Oh My My My),A few years had gone and come around
Taylor Swift,Mary’s Song (Oh My My My),We were sitting at our favorite spot in town
Taylor Swift,Mary’s Song (Oh My My My),"And you looked at me, got down on one knee"
Taylor Swift,Mary’s Song (Oh My My My),Take me back to the time when we walked down the aisle
Taylor Swift,Mary’s Song (Oh My My My),Our whole town came and our mamas cried
Taylor Swift,Mary’s Song (Oh My My My),"You said ""I do"" and I did too"
Taylor Swift,Mary’s Song (Oh My My My),Take me home where we met so many years before
Taylor Swift,Mary’s Song (Oh My My My),We'll rock our babies on that very front porch
Taylor Swift,Mary’s Song (Oh My My My),"After all this time, you and I"
Taylor Swift,Mary’s Song (Oh My My My),I'll be eighty-seven; you'll be eighty-nine
Taylor Swift,Mary’s Song (Oh My My My),I'll still look at you like the stars that shine
Taylor Swift,Mary’s Song (Oh My My My),"In the sky, oh my, my, my"
Taylor Swift,Our Song,I was ridin' shotgun with my hair undone
Taylor Swift,Our Song,In the front seat of his car
Taylor Swift,Our Song,He's got a one-hand feel on the steering wheel
Taylor Swift,Our Song,The other on my heart
Taylor Swift,Our Song,"I look around, turn the radio down"
Taylor Swift,Our Song,"He says, ""Baby, is something wrong?"""
Taylor Swift,Our Song,"I say, ""Nothin', I was just thinkin'"
Taylor Swift,Our Song,"How we don't have a song"""
Taylor Swift,Our Song,And he says
Taylor Swift,Our Song,Our song is the slamming screen door
Taylor Swift,Our Song,"Sneakin' out late, tapping on your window"
Taylor Swift,Our Song,When we're on the phone and you talk real slow
Taylor Swift,Our Song,'Cause it's late and your mama don't know
Taylor Swift,Our Song,Our song is the way you laugh
Taylor Swift,Our Song,"The first date: ""Man, I didn't kiss her, and I should have"""
Taylor Swift,Our Song,And when I got home 'fore I said amen
Taylor Swift,Our Song,Asking God if he could play it again
Taylor Swift,Our Song,I was walking up the front porch steps
Taylor Swift,Our Song,After everything that day
Taylor Swift,Our Song,Had gone all wrong or been trampled on
Taylor Swift,Our Song,And lost and thrown away
Taylor Swift,Our Song,"Got to the hallway, well on my way"
Taylor Swift,Our Song,To my lovin' bed
Taylor Swift,Our Song,I almost didn't notice all the roses
Taylor Swift,Our Song,And the note that said
Taylor Swift,Our Song,Our song is the slamming screen door
Taylor Swift,Our Song,"Sneakin' out late, tapping on your window"
Taylor Swift,Our Song,When we're on the phone and you talk real slow
Taylor Swift,Our Song,'Cause it's late and your mama don't know
Taylor Swift,Our Song,Our song is the way you laugh
Taylor Swift,Our Song,"The first date: ""Man, I didn't kiss her, and I should have"""
Taylor Swift,Our Song,And when I got home 'fore I said amen
Taylor Swift,Our Song,Asking God if he could play it again
Taylor Swift,Our Song,Da-da-da-da
Taylor Swift,Our Song,"I've heard every album, listened to the radio"
Taylor Swift,Our Song,Waited for somethin' to come along
Taylor Swift,Our Song,That was as good as our song
Taylor Swift,Our Song,'Cause our song is the slamming screen door
Taylor Swift,Our Song,"Sneakin' out late, tappin' on his window"
Taylor Swift,Our Song,When we're on the phone and he talks real slow
Taylor Swift,Our Song,'Cause it's late and his mama don't know
Taylor Swift,Our Song,Our song is the way he laughs
Taylor Swift,Our Song,"The first date: ""Man, I didn't kiss him, and I should have"""
Taylor Swift,Our Song,And when I got home 'fore I said amen
Taylor Swift,Our Song,Asking God if he could play it again
Taylor Swift,Our Song,"Play it again, oh, yeah"
Taylor Swift,Our Song,"Oh, oh, yeah"
Taylor Swift,Our Song,I was ridin' shotgun with my hair undone
Taylor Swift,Our Song,In the front seat of his car
Taylor Swift,Our Song,I grabbed a pen and an old napkin
Taylor Swift,Our Song,And I wrote down our song
Taylor Swift,I’m Only Me When I’m with You,Friday night beneath the stars
Taylor Swift,I’m Only Me When I’m with You,In a field behind your yard
Taylor Swift,I’m Only Me When I’m with You,You and I are painting pictures in the sky
Taylor Swift,I’m Only Me When I’m with You,And sometimes we don't say a thing
Taylor Swift,I’m Only Me When I’m with You,Just listen to the crickets sing
Taylor Swift,I’m Only Me When I’m with You,Everything I need is right here by my side
Taylor Swift,I’m Only Me When I’m with You,And I know everything about you
Taylor Swift,I’m Only Me When I’m with You,I don't wanna live without you
Taylor Swift,I’m Only Me When I’m with You,I'm only up when you're not down
Taylor Swift,I’m Only Me When I’m with You,Don't wanna fly if you're still on the ground
Taylor Swift,I’m Only Me When I’m with You,It's like no matter what I do
Taylor Swift,I’m Only Me When I’m with You,"Well, you drive me crazy half the time"
Taylor Swift,I’m Only Me When I’m with You,"The other half, I'm only tryna"
Taylor Swift,I’m Only Me When I’m with You,Let you know that what I feel is true
Taylor Swift,I’m Only Me When I’m with You,And I'm only me when I'm with you
Taylor Swift,I’m Only Me When I’m with You,Just a small-town boy and girl
Taylor Swift,I’m Only Me When I’m with You,Living in a crazy world
Taylor Swift,I’m Only Me When I’m with You,Tryna figure out what is and isn't true
Taylor Swift,I’m Only Me When I’m with You,And I don't try to hide my tears
Taylor Swift,I’m Only Me When I’m with You,My secrets or my deepest fears
